hakuryu,,OWD_hakuryu_01,台湾の諸葛孔明“白龍”の【八龍霊視占】,,白龍,hakuryu,
hayuki,hayuki-motoduka,OWD_hayuki_01,はゆき咲くらの「夢霊術クレアボヤンス」,,はゆき咲くら,hayuki,
hoshikaze,,OWD_hoshikaze_01,星風の“形代禁厭霊術”,,星風,hoshikaze,
ichild,ichild-coumd,OWD_isha_01,22枚の童話の世界が真実を告げる?インナーチャイルドカード,,,ichild,
ikai,ikai-kairon,OWD_ikai_01,【最優秀国際風水師賞】易海陽光の陰陽五帝占術,,易海陽光,ikai,
jose,jose-motoduka,OWD_suehiro_01,鳥肌ドキッ！ 驚愕の霊能力！新大久保の霊能母,,,jose,
kairi,kairi-motoduka,OWD_kairi_01,七海カイリの“ダークムーン＆ホワイトムーン”,,七海カイリ,kairi,
kasya,,OWD_kasya_01,ミセス・カーシャのパラレルリーディング,,ミセス・カーシャ,kasya,
keiko,,,,,KEIKO,keiko,
keit,keit-motoduka,OWD_keit_01,野森ケイトの『アイリッシュハープ神秘術』,,野森ケイト,keit,
kiko,,OWD_kiko_01,霊魂ダウザーKiko,,Kiko,kiko,
kimyaku,,,,,,kimyaku,
kirei,,,,,月星キレイ,kirei,
klara,,OWD_klara_01,クラーラおばさんの《鉛数秘》,,,klarale,
kmo2,,OWD_keiko_03,Keiko的「ムーン・オラクル」,Keiko的ムーンオラクル,KEIKO～ムーン・オラクル～,kmo2,
koyanagi,koyanagi-kairon,OWD_koyanagi_01,小柳猛のホワイトマジックリーディング,,小柳 猛,koyanagi,
lemurian,,OWD_kanon_01,44枚の神の神秘レムリアン・シード・オラクル,,レムリアン・シード・オラクル,lemurian,
lumiko,lumiko-kairon,OWD_rumikoi_01,波動カバラ呪術師LUMIKO,,LUMIKO,lumiko,
luna,,OWD_keiko_02,引き寄せの女神☆ルナロジー創始者Keiko,ルナロジー創始者 Keiko,KEIKO?ルナロジーリーディング?,luna,
macalon,macalon-count,OWD_macalon_01,【ポップでキュート】マカロンタロット,,加藤マカロン,macalon,
maril,maril-motozuka,OWD_mimoe_01,大地の霊力であなたに幸せを引き寄せる～水萌マリルの龍脈ジオマンシー,,水萌マリル,maril,
matsuyama,matsuyama-kairon,OWD_matsuyama_01,秋田の“鬼当ての母”松山恭子の紫微断易,,松山恭子,matsuyama,
merisa,,OWD_houjo_01,騒然の魔術！　オルゴナイトリーディング,,北條メリサ,merisa,
mermaid,mermaid-count,OWD_mermaid_01,愛、欲望、嫉妬、心の闇をさらけ出す魔性のカード【マーメイドオラクル】,マーメイド・オラクル,マーメイドオラクル,mermaid,
mian,,OWD_mian_01,門外不出の琉球イーチンタロット美杏4,,美杏【タロット】,mian,
miesha,,OWD_miesha_01,恋愛成就マスターmiesha,,miesha,miesha,
mikomaria,mikomaria-motoduka,OWD_mikomaria_01,巫女マリアの“スピリチュアルインナーサイン”,,巫女マリア,mikomaria,
miku,,OWD_miku_02,未空流『命式陰陽術』,,未空,miku,
miyoko-syufu,miyoko-tirol,OWD_koike_01,フューチャーリーダー『みよこ先生』,,みよこ先生◆画霊,miyokof,
mlo,,OWD_keiko_01,Keiko的マゼンタ・ラブ・オラクル,,KEIKO?マゼンタ・ラブ・オラクル?,mlo,
mokuren,,OWD_mokuren_01,言霊ナース占い師目連,,みよこ先生◆画霊,mokuren,
narusawa,,OWD_narusawa_01,OWD_narusawa_01,“白金の伝説占者”マダム成澤の誕生霊数,マダム成澤,narusawa,
niu,niu-motoduka,OWD_niutouko_01,霊性チャネラー“丹生灯香”の星辰波動占術,,丹生灯香,niu,
noda,noda-kairon,OWD_noda_01,瀬戸の的中僧 “野田御前”の【六壬若水霊占】,,野田御前,noda,
okac,,OWD_okada_01,龍神様から選ばれた男“おかちゃん”,,おかちゃん,okac,
ophelia,,OWD_ophelia_01,日本中の女性を「幸せ」にしてきた占い師,オフェーリア,Ｇ・ダビデ占術,ophelia,
pof,,OWD_keiko_04,Keikoの「パートオブフォーチュン～幸運のありか～」,Keikoパートオブフォーチュン,Keikoパートオブフォーチュン,pof,
reirin,reirin-motoduka,OWD_reirin_01,“れいりん”の不動明王チャネリング霊術,,れいりん,reirin,
renri,renri-motozuka,OWD_midorikawa_01,麻布にこの人あり！【麻布十番の母】,,,renri,
rie,,OWD_yamasakirie_01,山咲りえのハンドコズミック数命術,"山咲りえ
",山咲りえ,rie,
risui,,OWD_risui_01,“人生の導き師”鈴木理水の霊眼リーディング,,理水,risui,
sashat,,OWD_Sasha_01,涙占い大阪の嬢王 SASHA.t,,SASHA.t,sashat,
shape,shape-count,OWD_shape_01,【使い魔タロット】シェイプシフター,シェイプシフターカード,シェイプシフター,shape,
shintaku,shintaku-count,OWD_shintaku_01,日本の神託カード　?神々と精霊、いのちと大地からのメッセージ?,,大野百合子,shintaku,
shokita,,OWD_shokita_01,諸喜田清子の波動宿綴占?自動書記で綴り連なる運命の宿図,諸喜田清子の波動宿綴占,諸喜田清子,shokita,
sugano,,OWD_sugano_01,OWD_sugano_02,,菅野萌,sugano,
syuki,syuki-motoduka,OWD_soldona_01,レイキで邪を葬る“沖縄の太陽女史”YUKI,,SOLDO?A YUKI,syuki,
takashima,,OWD_tshourei_01,高島照令の『名乗り【ナノリ】』宿命鑑定,,高島照令,takashima,
tnoel,tnoel-yeti,OWD_tachibana_01,【希臘数秘術】橘のえる,,橘のえる,tnoel,
tomoko,,OWD_tomoko_01,夜見の国の使者“智子”数霊万葉占術,,智子,tomoko,
tsukikage,tsukikage-motoduka,OWD_tsukikage_01,月影ひびきのマインドキューブ霊魔術,,月影ひびき,tsukikage,
yuki,yuki-osajima,OWD_yuki_01,霊波リーダー結祈のペンデュラム占術1,,結祈,yuki,
