etenmei,,OWD_tenmei_01,エト天命の前世波動呪術,,エト天命,etenmei,,,,
fujita,fujita-kairon,OWD_fujita_01,仙家道術を操る漢　藤田和久の八徳文殊波動玄術,,藤田 和久,fujita,"仙家道術の秘儀を操る漢　藤田和久の八徳文殊波動玄術",,,
gaia,gaia-count,OWD_eremaria_01,真実導く『ガイアオラクルカード』,,,gaia,"ガイアの力で奇跡体験！　真実導く『ガイアオラクルカード』",,,
gyoku,gyoku-count,OWD_gyokusenhi_01,悪霊も退散する鬼鑑定　玉仙妃の【靈符八神占】,,玉仙妃◆靈符八神占,gyoku,"本場台湾驚愕の厄払い！　悪霊も退散する鬼鑑定　玉仙妃の【靈符八神占】",,,
hakuryu,,OWD_hakuryu_01,台湾の諸葛孔明“白龍”の【八龍霊視占】,,白龍,hakuryu,,,,
hayuki,hayuki-motoduka,OWD_hayuki_01,はゆき咲くらの「夢霊術クレアボヤンス」,,はゆき咲くら,hayuki,,,,
hoshikaze,,OWD_hoshikaze_01,星風の“形代禁厭霊術”,,星風,hoshikaze,,,,
ichild,ichild-coumd,OWD_isha_01,22枚の童話の世界が真実を告げる?インナーチャイルドカード,,,ichild,22枚の童話の世界が真実を告げる〜インナーチャイルドカード,,,
ikai,ikai-kairon,OWD_ikai_01,【最優秀国際風水師賞】易海陽光の陰陽五帝占術,,易海陽光,ikai,,,,
jose,jose-motoduka,OWD_suehiro_01,鳥肌ドキッ！ 驚愕の霊能力！新大久保の霊能母,,,jose,,,,
kairi,kairi-motoduka,OWD_kairi_01,七海カイリの“ダークムーン＆ホワイトムーン”,,七海カイリ,kairi,,,,
kasya,,OWD_kasya_01,ミセス・カーシャのパラレルリーディング,,ミセス・カーシャ,kasya,,,,
keiko,,,,,KEIKO,keiko,"KEIKOの秘伝ソウルメイト風水占術",ＫＥＩＫＯ☆ソウルメイト占術,ＫＥＩＫＯソウルメイト占術,ＫＥＩＫＯ☆ソウルメイト占術
keit,keit-motoduka,OWD_keit_01,野森ケイトの『アイリッシュハープ神秘術』,,野森ケイト,keit,,,,
kiko,,OWD_kiko_01,霊魂ダウザーKiko,,Kiko,kiko,"激ヤバッ!!　当たりすぎて「震えが止まらない」霊魂ダウザーKiko",,,
kimyaku,,,,,,kimyaku,,,,
kirei,,,,,月星キレイ,kirei,"運命切り開く至高の導き！　月星キレイのジュピテーショナル占術",,,
klara,,OWD_klara_01,クラーラおばさんの《鉛数秘》,,,klarale,"クラーラおばさんの《鉛数秘》〜古代の叡智が溢れる“幻”占術〜",,,
kmo2,,OWD_keiko_03,Keiko的「ムーン・オラクル」,Keiko的ムーンオラクル,KEIKO～ムーン・オラクル～,kmo2,"Keiko的「ムーン・オラクル」〜月が導いた神秘の29枚〜",,,
koyanagi,koyanagi-kairon,OWD_koyanagi_01,小柳猛のホワイトマジックリーディング,,小柳 猛,koyanagi,,,,
lemurian,,OWD_kanon_01,44枚の神の神秘レムリアン・シード・オラクル,,レムリアン・シード・オラクル,lemurian,"心震える愛と癒しの奇跡【44枚に隠された神の神秘】レムリアン・シード・オラクル",,,
lumiko,lumiko-kairon,OWD_rumikoi_01,波動カバラ呪術師LUMIKO,,LUMIKO,lumiko,,,,
luna,,OWD_keiko_02,引き寄せの女神☆ルナロジー創始者Keiko,ルナロジー創始者 Keiko,KEIKO?ルナロジーリーディング?,luna,"ソウルメイトで話題！　引き寄せの女神☆ルナロジー創始者Keiko",,,
macalon,macalon-count,OWD_macalon_01,【ポップでキュート】マカロンタロット,,加藤マカロン,macalon,"マカロンタロット〜可愛いけど本格派！　運命開く魔法のカード〜",,,
maril,maril-motozuka,OWD_mimoe_01,大地の霊力であなたに幸せを引き寄せる～水萌マリルの龍脈ジオマンシー,,水萌マリル,maril,,,,
matsuyama,matsuyama-kairon,OWD_matsuyama_01,秋田の“鬼当ての母”松山恭子の紫微断易,最強の姓名鑑定師軍団,松山恭子,matsuyama,,,,
merisa,,OWD_houjo_01,騒然の魔術！　オルゴナイトリーディング,,北條メリサ,merisa,"負を浄化！《業界口コミ》騒然の魔術〜オルゴナイトリーディング",,,
mermaid,mermaid-count,OWD_mermaid_01,愛、欲望、嫉妬、心の闇をさらけ出す魔性のカード【マーメイドオラクル】,マーメイド・オラクル,マーメイドオラクル,mermaid,"愛、欲望、嫉妬、心の闇をさらけ出す魔性のカード【マーメイドオラクル】",,,
mian,,OWD_mian_01,門外不出の琉球イーチンタロット美杏,,美杏【タロット】,mian,,,,
miesha,,OWD_miesha_01,恋愛成就マスターmiesha,,miesha,miesha,"日本最大占いイベント人気No.1占い師！　恋愛成就マスターmiesha",,,
mikomaria,mikomaria-motoduka,OWD_mikomaria_01,巫女マリアの“スピリチュアルインナーサイン”,,巫女マリア,mikomaria,,,,
miku,,OWD_miku_02,未空流『命式陰陽術』,,未空,miku,"限りある命の中で最大限の奇跡を起こす！未空流『命式陰陽術』",,,
miyoko-syufu,miyoko-tirol,OWD_koike_01,フューチャーリーダー『みよこ先生』,最強の姓名鑑定師軍団,みよこ先生◆画霊,miyokof,"姓名の波動があなたの未来を照らす！　フューチャーリーダー『みよこ先生』",みよこ☆キセキの鑑定,,
mlo,,OWD_keiko_01,Keiko的マゼンタ・ラブ・オラクル,,KEIKO?マゼンタ・ラブ・オラクル?,mlo,"湧き出る愛に感涙！　KEIKO的マゼンタ・ラブ・オラクル",,,
mokuren,,OWD_mokuren_01,言霊ナース占い師目連,,みよこ先生◆画霊,mokuren,,,,
narusawa,,OWD_narusawa_01,OWD_narusawa_01,“白金の伝説占者”マダム成澤の誕生霊数,マダム成澤,narusawa,“白金の伝説占者”マダム成澤の誕生霊数&#12316;当たり過ぎも困りものよ,,,
niu,niu-motoduka,OWD_niutouko_01,霊性チャネラー“丹生灯香”の星辰波動占術,,丹生灯香,niu,,,,
noda,noda-kairon,OWD_noda_01,瀬戸の的中僧 “野田御前”の【六壬若水霊占】,,野田御前,noda,,,,
okac,,OWD_okada_01,龍神様から選ばれた男“おかちゃん”,,おかちゃん,okac,,,,
ophelia,,OWD_ophelia_01,日本中の女性を「幸せ」にしてきた占い師,オフェーリア,Ｇ・ダビデ占術,ophelia,"オフェリア・麗のＧ・ダビデ占術",,,
pof,,OWD_keiko_04,Keikoの「パートオブフォーチュン～幸運のありか～」,Keikoパートオブフォーチュン,Keikoパートオブフォーチュン,pof,"KEIKOの「パートオブフォーチュン〜幸運のありか〜」",,,
reirin,reirin-motoduka,OWD_reirin_01,“れいりん”の不動明王チャネリング霊術,,れいりん,reirin,,,,
renri,renri-motozuka,OWD_midorikawa_01,麻布にこの人あり！【麻布十番の母】,,,renri,,,,
rie,,OWD_yamasakirie_01,山咲りえのハンドコズミック数命術,"山咲りえ",山咲りえ,rie,"たった一度の相談が人生を180度好転させる！　ハンドコズミック数命術",,,
risui,,OWD_risui_01,“人生の導き師”鈴木理水の霊眼リーディング,,理水,risui,"煌めきと幸福をもたらす“人生のみちびき師”鈴木理水の霊眼リーディング",,,
sashat,,OWD_Sasha_01,涙占い大阪の嬢王 SASHA.t,,SASHA.t,sashat,,,,
shape,shape-count,OWD_shape_01,【使い魔タロット】シェイプシフター,シェイプシフターカード,シェイプシフター,shape,"ズル過ぎる的中率！異端の占術解禁!!シェイプシフター・オラクルカード",,,
shintaku,shintaku-count,OWD_shintaku_01,日本の神託カード　?神々と精霊、いのちと大地からのメッセージ?,,大野百合子,shintaku,"日本の神託カード　〜神々と精霊、いのちと大地からのメッセージ〜",,,
shokita,,OWD_shokita_01,諸喜田清子の波動宿綴占?自動書記で綴り連なる運命の宿図,諸喜田清子の波動宿綴占,諸喜田清子,shokita,諸喜田清子の波動宿綴占〜自動書記で綴り連なる運命の宿図,,,
sugano,,OWD_sugano_01,OWD_sugano_02,,菅野萌,sugano,"「世界にただ一つの奇跡」菅野萌の“ツインレイリーディング”",,,
syuki,syuki-motoduka,OWD_soldona_01,レイキで邪を葬る“沖縄の太陽女史”YUKI,,SOLDO?A YUKI,syuki,,,,
takashima,,OWD_tshourei_01,高島照令の『名乗り【ナノリ】』宿命鑑定,最強の姓名鑑定師軍団,高島照令,takashima,"高島照令の『名乗り【ナノリ】』宿命鑑定",,,
tnoel,tnoel-yeti,OWD_tachibana_01,【希臘数秘術】橘のえる,,橘のえる,tnoel,"マジ当たり連発に口コミ激増【希臘数秘術】橘のえる‐アリトモマンシー",,,
tomoko,,OWD_tomoko_01,夜見の国の使者“智子”数霊万葉占術,,智子,tomoko,,,,
tsukikage,tsukikage-motoduka,OWD_tsukikage_01,月影ひびきのマインドキューブ霊魔術,,月影ひびき,tsukikage,,,,
yuki,yuki-osajima,OWD_yuki_01,霊波リーダー結祈のペンデュラム占術,,結祈,yuki,"読まれ過ぎ覚悟の極深占！　霊波リーダー結祈のペンデュラム占術",,,
